KCNG2	KCNB1
DIO2	WSB1
UBE2I	RCC1
TOPORS	PSMC1
AC129492.1	CRY1
PER2	CRY1
ARNTL	RABGEF1
THAP1	DCTN3
SERBP1	TBCE
HSF1	KPNA4
DTNB	CEP63
MCM4	MCM3
CCNE1	CDK2
GRIA1	RAB11A
PDZD2	PRPF40A
GNG5	KRT40
GNG4	GNA11
GNG4	GNA11
GNG3	PDCL
GNB5	CCT7
ARL6	SART1
PIKFYVE	APP
SORT1	BACE1
ZNF496	ZKSCAN4
PUM2	NANOS3
POLR1C	RPAP1
DNAJA3	PRKACA
DNAJA3	PRKACA
SYNE1	SUN2
ING4	TRIM56
LRRC7	HOMEZ
TCP10L	NDE1
DXO	RPAP2
DXO	RPAP2
DXO	RPAP2
DXO	RPAP2
DXO	RPAP2
DXO	RPAP2
ZHX1	ZHX2
ARPC5	MAPKAPK2
NIF3L1	PNMA1
GGA3	ARF6
PHACTR3	EEF1G
ARID1B	SMARCE1
PRPF6	CD2BP2
ERC2	ERC1
EVL	WASF2
PKD2L1	TNNI3
TNNI3K	AIP
TLK1	RELCH
ANKRD23	TTN
GOLGA7	GOLGA3
CDHR2	MAST2
MED18	POLR2A
MED9	CARM1
MED8	MED11
RASSF8	RAB3IP
FANCI	HIST1H4A
CDC73	COQ6
CTR9	CDC73
LEO1	CDC73
PAF1	FXR2
RTF1	INO80
DSN1	NSL1
NSL1	ZG16B
ESF1	RMI1
NOP9	PMS1
CDC42	ELP3
UTP18	CHL1
GAR1	CLNS1A
NOP58	RUVBL1
PUS7	AMD1
RRP9	PUS7
LRP1	RTEL1
RRP8	FTSJ3
MED7	PRTFDC1
PWP1	LGALS13
UTP4	CHL1
UTP4	CHL1
CHD1	CDC73
RPN1	OCA2
CDC40	MED1
AAR2	POLR2B
CCR4	COA6
LSG1	RPL10
NAB2	BRF1
PUS1	GCN1
TSR2	ZBTB9
OLA1	SART3
URB1	URB2
HGH1	IDH2
APC2	TP53BP2
CAP1	ACTB
CAP2	ACTB
CLP1	CHL1
PCF11	CLP1
ECM1	XRN1
ELP2	KTI12
GGA2	CLINT1
IST1	CHMP1A
NSA2	UPF1
NMD3	FAM83D
KRR1	RMI1
MAS1	TBRG4
MLH1	EXO1
PMS1	CDC42
MRPL10	PREPL
MRPL16	HSPD1
MRPL19	LEO1
MRPL9	SUB1
