TRDD2-201	TRDD2
IGLC2-201	IGLC2
IGLC3-201	IGLC3
IGLC7-201	IGLC7
IGHV1-58-201	IGHV1-58
IGHV5-51-201	IGHV5-51
IGHV4-28-201	IGHV4-28
IGHV6-1-201	IGHV6-1
IGHV1-46-201	IGHV1-46
IGHV3-74-201	IGHV3-74
IGHV3-16-201	IGHV3-16
IGHV3-72-201	IGHV3-72
IGHV3-72-202	IGHV3-72
IGKV3-11-201	IGKV3-11
IGHV3-72-204	IGHV3-72
IGHV3-72-203	IGHV3-72
IGHV4-59-202	IGHV4-59
IGHV4-61-202	IGHV4-61
IGKV1D-42-201	IGKV1D-42
IGKV6D-41-201	IGKV6D-41
IGKV1D-17-201	IGKV1D-17
IGHV4-39-202	IGHV4-39
IGHV3OR15-7-201	IGHV3OR15-7
AC234301.1-201	AC234301.1
IGHV1-24-202	IGHV1-24
AC245369.4-201	IGHV1-69-2
IGHV3-66-201	IGHV3-66
IGHV2-26-201	IGHV2-26
AC247036.4-201	IGHV3-64D
AC245369.3-201	IGHV1-69D
IGHV3-33-201	IGHV3-33
IGHV1-18-201	IGHV1-18
IGKV3-7-201	IGKV3-7
IGKV1-5-201	IGKV1-5
IGHV3-21-201	IGHV3-21
IGKV1-33-201	IGKV1-33
IGKV1-33-202	IGKV1-33
IGKV2-30-201	IGKV2-30
IGKV2-24-201	IGKV2-24
IGKV3-20-201	IGKV3-20
IGKV1-17-201	IGKV1-17
IGKV1-16-201	IGKV1-16
IGHV3-48-201	IGHV3-48
IGHV3-49-201	IGHV3-49
IGHV4-34-201	IGHV4-34
IGHV4-4-201	IGHV4-4
IGKV3OR2-268-201	IGKV3OR2-268
IGHV3-20-201	IGHV3-20
IGKV6-21-201	IGKV6-21
IGKV1-6-201	IGKV1-6
IGHV2-70-201	IGHV2-70
AC245369.1-201	IGHV2-70D
IGHV1-24-201	IGHV1-24
IGHV1-3-201	IGHV1-3
IGHV2-5-202	IGHV2-5
AC244226.2-201	AC244226.1
IGHV1-45-201	IGHV1-45
IGHV3-38-201	IGHV3-38
IGHV3-23-201	IGHV3-23
IGKV2-28-201	IGKV2-28
IGHV1-69-201	IGHV1-69
IGHV4-61-201	IGHV4-61
IGHV3-43-201	IGHV3-43
IGHV3-11-201	IGHV3-11
AC247036.6-201	IGHV5-10-1
IGHV2-5-201	IGHV2-5
IGKV1-27-201	IGKV1-27
IGKV4-1-201	IGKV4-1
IGHV7-81-201	IGHV7-81
IGHV3-30-201	IGHV3-30
IGHV3-64-201	IGHV3-64
IGHV1-2-201	IGHV1-2
IGKV1D-8-201	IGKV1D-8
IGKV3D-15-201	IGKV3D-15
IGKV6D-21-201	IGKV6D-21
IGKV2D-28-201	IGKV2D-28
IGKV2D-28-202	IGKV2D-28
IGHV3-73-201	IGHV3-73
IGHV3-7-201	IGHV3-7
IGHV3-15-201	IGHV3-15
AC244226.1-201	IGHV7-4-1
IGHV4-39-201	IGHV4-39
IGHV3-35-201	IGHV3-35
IGHV3-13-201	IGHV3-13
IGKV3-15-201	IGKV3-15
IGKV1-9-201	IGKV1-9
IGKV1-8-201	IGKV1-8
IGHV5-51-202	IGHV5-51
IGKV3D-20-201	IGKV3D-20
IGHV3-33-202	IGHV3-33
IGHV4-31-202	AC234301.4
IGLV3-32-202	IGLV3-32
AC145029.2-201	AC145029.2
IGKV3D-7-202	IGKV3D-7
IGHV4-31-201	IGHV4-31
IGHV4-59-201	IGHV4-59
IGHV3-53-201	IGHV3-53
IGKV1-12-201	IGKV1-12
IGKV5-2-201	IGKV5-2
IGHV4-28-202	IGHV4-28
IGKV1D-37-201	IGKV1D-37
IGKV1-39-201	IGKV1-39
